taskid,MIDSAT+LOW,SAT+HIGH,UNSAT+HIGH,MIDSAT+HIGH,UNSAT+LOW,SAT+LOW
11,4.8,4.6,3.25,4.25,4.75,4.2
10,4.75,4.25,3.5,3.5,4.4,4.0
13,4.8,4.0,4.2,4.0,4.2,4.8
12,5.0,4.4,4.0,3.0,4.6,4.75
15,4.75,4.25,3.75,3.8,4.25,4.4
14,4.33333333333,4.4,4.25,3.5,4.25,4.4
17,2.5,3.8,3.25,3.0,3.0,4.4
16,3.6,3.4,3.75,4.6,4.5,4.2
19,1.66666666667,1.5,2.5,3.0,2.6,2.5
18,4.6,4.0,4.0,4.25,3.5,4.0
20,4.6,4.5,3.25,3.4,5.0,4.0
1,3.75,4.5,3.0,3.8,3.75,4.2
3,4.4,3.5,4.4,4.75,5.0,3.75
2,3.8,3.75,3.2,4.0,4.2,4.5
5,4.5,4.4,4.2,4.0,4.25,4.6
4,5.0,4.5,4.5,4.5,4.6,4.5
7,4.75,3.75,4.5,4.2,4.6,3.75
6,4.8,4.25,4.8,4.4,4.75,4.5
9,3.25,3.0,3.8,3.75,3.8,4.25
8,4.2,3.75,4.2,4.25,4.25,4.5
